owner	kind	row	column	value	lineage
translation_2	other_first	0	-	0	1711186366924053991
translation_2	other_second	0	-	0	1711186366924053991
translation_2	other_second	1	-	1	1711186366924053991
translation_2	kappa	0	-	1	1711186366924053991
translation_2	kappa	1	-	-1	1711186366924053991
translation_2	x_numerator_0	0	-	0	1711186366924053991
translation_2	x_numerator_0	1	-	-1	1711186366924053991
translation_2	x_numerator_1	0	-	1	1711186366924053991
translation_2	x_denominator_0	0	-	-1	1711186366924053991
translation_2	x_denominator_1	0	-	1	1711186366924053991
translation_2	y_scale	0	-	-1	1711186366924053991
translation_2	y_scale	1	-	1	1711186366924053991
translation_2	graph_class	0	-	1	1711186366924053991
translation_2	graph_class	1	-	1	1711186366924053991
translation_2	graph_class	2	-	0	1711186366924053991
translation_2	graph_class	3	-	1	1711186366924053991
translation_2	graph_class	4	-	-1	1711186366924053991
translation_2	graph_class	5	-	0	1711186366924053991
translation_2	certificates	0	0	1:1:1:1:1	1711186366924053991
translation_3	root	0	-	0	1711186366924053992
translation_3	root	1	-	1	1711186366924053992
translation_3	other_first	0	-	0	1711186366924053992
translation_3	other_second	0	-	1	1711186366924053992
translation_3	kappa	0	-	0	1711186366924053992
translation_3	kappa	1	-	-1	1711186366924053992
translation_3	kappa	2	-	1	1711186366924053992
translation_3	x_numerator_0	0	-	0	1711186366924053992
translation_3	x_numerator_0	1	-	-1	1711186366924053992
translation_3	x_numerator_1	0	-	0	1711186366924053992
translation_3	x_numerator_1	1	-	1	1711186366924053992
translation_3	x_denominator_0	0	-	0	1711186366924053992
translation_3	x_denominator_0	1	-	-1	1711186366924053992
translation_3	x_denominator_1	0	-	1	1711186366924053992
translation_3	y_scale	0	-	0	1711186366924053992
translation_3	y_scale	1	-	1	1711186366924053992
translation_3	y_scale	2	-	-1	1711186366924053992
translation_3	graph_class	0	-	1	1711186366924053992
translation_3	graph_class	1	-	1	1711186366924053992
translation_3	graph_class	2	-	0	1711186366924053992
translation_3	graph_class	3	-	1	1711186366924053992
translation_3	graph_class	4	-	-1	1711186366924053992
translation_3	graph_class	5	-	0	1711186366924053992
translation_3	certificates	0	0	1:1:1:1:1	1711186366924053992
cycles	generator_0	0	-	1	195640
cycles	generator_0	1	-	0	195640
cycles	generator_0	2	-	0	195640
cycles	generator_0	3	-	0	195640
cycles	generator_0	4	-	0	195640
cycles	generator_0	5	-	0	195640
cycles	generator_support	0	-	1:1	195640
cycles	generator_1	0	-	0	195641
cycles	generator_1	1	-	1	195641
cycles	generator_1	2	-	0	195641
cycles	generator_1	3	-	0	195641
cycles	generator_1	4	-	0	195641
cycles	generator_1	5	-	0	195641
cycles	generator_support	1	-	2:1	195641
cycles	generator_2	0	-	1	195642
cycles	generator_2	1	-	1	195642
cycles	generator_2	2	-	0	195642
cycles	generator_2	3	-	1	195642
cycles	generator_2	4	-	-1	195642
cycles	generator_2	5	-	0	195642
cycles	generator_support	2	-	4:1	195642
cycles	generator_3	0	-	1	195643
cycles	generator_3	1	-	1	195643
cycles	generator_3	2	-	0	195643
cycles	generator_3	3	-	1	195643
cycles	generator_3	4	-	-1	195643
