kind	head	detail	form	witness
transport	changeLevel	symmetry 0 substitution 1 arity 0	changeLevel x0 x1 = changeLevel x2 x3	
transport	changeLevel	symmetry 0 substitution 1 arity 0	changeLevel x0 x1 = χ 	
transport	closure	symmetry 0 substitution 0 arity 0	closure x0 = ᵐ x1 x2 x0	
transport	commMap	symmetry 0 substitution 0 arity 0	commMap x0 x1 = mixedEmbedding x0 x2	
transport	complEDS	symmetry 0 substitution 0 arity 0	complEDS x0 x1 x2 x3 x4 = 0 	
transport	complEDS	symmetry 0 substitution 0 arity 0	complEDS x0 x1 x2 x3 x4 = 1 	
transport	complEDS₂	symmetry 0 substitution 1 arity 0	complEDS₂ x0 x1 x2 x3 = 2 	
transport	complEDS₂	symmetry 0 substitution 1 arity 0	complEDS₂ x0 x1 x2 x3 = b 	
transport	complEDS₂	symmetry 0 substitution 1 arity 0	complEDS₂ x0 x1 x2 x3 = complEDS₂ x0 x1 x2 x4	
transport	complEDS₂	symmetry 0 substitution 1 arity 0	complEDS₂ x0 x1 x2 x3 = d 	
transport	completeBasis	symmetry 0 substitution 0 arity 0	completeBasis x0 x1 = expMap.symm x2	
transport	completedCosZeta	symmetry 0 substitution 1 arity 0	completedCosZeta x0 x1 = completedCosZeta x2 x1	
transport	completedCosZeta	symmetry 0 substitution 1 arity 0	completedCosZeta x0 x1 = completedHurwitzZetaEven x0 x2	
transport	completedCosZeta	symmetry 0 substitution 1 arity 0	completedCosZeta x0 x1 = completedRiemannZeta x1	
transport	completedCosZeta₀	symmetry 0 substitution 1 arity 0	completedCosZeta₀ x0 x1 = completedCosZeta₀ x2 x1	
transport	completedCosZeta₀	symmetry 0 substitution 1 arity 0	completedCosZeta₀ x0 x1 = completedHurwitzZetaEven₀ x0 x2	
transport	completedCosZeta₀	symmetry 0 substitution 1 arity 0	completedCosZeta₀ x0 x1 = completedRiemannZeta₀ x1	
transport	completedHurwitzZetaEven	symmetry 0 substitution 1 arity 0	completedHurwitzZetaEven x0 x1 = completedCosZeta x0 x2	
transport	completedHurwitzZetaEven	symmetry 0 substitution 1 arity 0	completedHurwitzZetaEven x0 x1 = completedHurwitzZetaEven x2 x1	
transport	completedHurwitzZetaEven	symmetry 0 substitution 1 arity 0	completedHurwitzZetaEven x0 x1 = completedRiemannZeta x1	
transport	completedHurwitzZetaEven₀	symmetry 0 substitution 1 arity 0	completedHurwitzZetaEven₀ x0 x1 = completedCosZeta₀ x0 x2	
transport	completedHurwitzZetaEven₀	symmetry 0 substitution 1 arity 0	completedHurwitzZetaEven₀ x0 x1 = completedHurwitzZetaEven₀ x2 x1	
transport	completedHurwitzZetaEven₀	symmetry 0 substitution 1 arity 0	completedHurwitzZetaEven₀ x0 x1 = completedRiemannZeta₀ x1	
transport	completedHurwitzZetaOdd	symmetry 0 substitution 0 arity 0	completedHurwitzZetaOdd x0 x1 = completedSinZeta x0 x2	
transport	completedLFunction	symmetry 0 substitution 0 arity 0	completedLFunction x0 = completedRiemannZeta 	
transport	completedLFunction	symmetry 0 substitution 0 arity 0	completedLFunction x0 x1 = 0 	
transport	completedRiemannZeta	symmetry 0 substitution 1 arity 0	completedRiemannZeta x0 = completedRiemannZeta x1	
transport	completedRiemannZeta₀	symmetry 0 substitution 1 arity 0	completedRiemannZeta₀ x0 = completedRiemannZeta₀ x1	
transport	completedSinZeta	symmetry 0 substitution 0 arity 0	completedSinZeta x0 x1 = completedHurwitzZetaOdd x0 x2	
transport	complexConj	symmetry 0 substitution 0 arity 0	complexConj x0 x1 = x 	
transport	conductor	symmetry 0 substitution 0 arity 0	conductor x0 = 1 	
transport	conj	symmetry 0 substitution 0 arity 0	conj x0 = jacobiTheta₂ x1 x2	
transport	conj	symmetry 0 substitution 0 arity 0	conj x0 = x x1	
transport	cons	symmetry 0 substitution 0 arity 0	cons x0 x1 x2 = divisors x0	
transport	const	symmetry 0 substitution 0 arity 0	const x0 x1 = n 	
transport	convergent	symmetry 0 substitution 0 arity 0	convergent x0 x1 = 0 	
transport	convergent	symmetry 0 substitution 0 arity 0	convergent x0 x1 = ξ 	
transport	convexBodySumFun	symmetry 0 substitution 1 arity 0	convexBodySumFun x0 = convexBodySumFun x1	
transport	cosKernel	symmetry 0 substitution 1 arity 0	cosKernel x0 x1 = 0 	
transport	cosKernel	symmetry 0 substitution 1 arity 0	cosKernel x0 x1 = cosKernel x2 x1	
transport	cosZeta	symmetry 0 substitution 1 arity 0	cosZeta x0 = riemannZeta 	
transport	cosZeta	symmetry 0 substitution 1 arity 0	cosZeta x0 x1 = 0 	
transport	cosZeta	symmetry 0 substitution 1 arity 0	cosZeta x0 x1 = cosZeta x2 x1	
transport	cuspFunction	symmetry 0 substitution 0 arity 0	cuspFunction x0 x1 x2 = 0 	
transport	cuspFunction	symmetry 0 substitution 0 arity 0	cuspFunction x0 x1 x2 = f x3	
transport	cuspFunction	symmetry 0 substitution 0 arity 0	cuspFunction x0 x1 x2 = valueAtInfty x1	
transport	cyclotomicCharacter.toFun	symmetry 0 substitution 0 arity 0	cyclotomicCharacter.toFun x0 x1 = PadicInt.ofIntSeq x2 x3	
transport	denom	symmetry 0 substitution 0 arity 0	denom x0 x1 = 1 	
transport	deriv	symmetry 0 substitution 1 arity 0	deriv x0 x1 = deriv x2 x1	
transport	discr	symmetry 0 substitution 2 arity 0	discr x0 = 1 	
transport	discr	symmetry 0 substitution 2 arity 0	discr x0 = discr x1	
transport	discr	symmetry 0 substitution 2 arity 0	discr x0 x1 x2 = discr x0 x3 x2	
transport	e	symmetry 0 substitution 0 arity 0	e x0 = 1 	
transport	eisensteinSeries_SIF	symmetry 0 substitution 0 arity 0	eisensteinSeries_SIF x0 x1 x2 = eisensteinSeries x0 x1 x2	
transport	embedding	symmetry 0 substitution 0 arity 0	embedding x0 = φ 	
transport	emultiplicity	symmetry 0 substitution 2 arity 0	emultiplicity x0 x1 = 1 	
transport	emultiplicity	symmetry 0 substitution 2 arity 0	emultiplicity x0 x1 = emultiplicity x0 x2	
transport	emultiplicity	symmetry 0 substitution 2 arity 0	emultiplicity x0 x1 = emultiplicity x2 x3	
transport	equivInfinitePlace	symmetry 0 substitution 0 arity 0	equivInfinitePlace x0 x1 = w.comap x2	
transport	equivMaximalRealSubfield	symmetry 0 substitution 0 arity 0	equivMaximalRealSubfield x0 x1 x2 = algebraMap x0 x1 x2	
transport	eta_q	symmetry 0 substitution 0 arity 0	eta_q x0 x1 = cexp x2	
transport	eulerMascheroniSeq	symmetry 0 substitution 0 arity 0	eulerMascheroniSeq x0 = 0 	
transport	evenKernel	symmetry 0 substitution 1 arity 0	evenKernel x0 = cosKernel x0	
transport	evenKernel	symmetry 0 substitution 1 arity 0	evenKernel x0 x1 = 0 	
transport	evenKernel	symmetry 0 substitution 1 arity 0	evenKernel x0 x1 = evenKernel x2 x1	
transport	exp	symmetry 0 substitution 0 arity 0	exp x0 = L x1 x2	
transport	exp	symmetry 0 substitution 0 arity 0	exp x0 = riemannZeta x1	
transport	expMap	symmetry 0 substitution 0 arity 0	expMap x0 = normAtAllPlaces x1	
transport	expMap	symmetry 0 substitution 0 arity 0	expMap x0 x1 = Real.exp x2	
transport	expMapBasis	symmetry 0 substitution 0 arity 0	expMapBasis x0 = expMap x1	
transport	expZeta	symmetry 0 substitution 0 arity 0	expZeta x0 = riemannZeta 	
transport	exponent	symmetry 0 substitution 0 arity 0	exponent x0 = sInf x1	
transport	extensionEmbedding	symmetry 0 substitution 0 arity 0	extensionEmbedding x0 x1 = v.embedding x1	
transport	extensionEmbeddingOfIsReal	symmetry 0 substitution 0 arity 0	extensionEmbeddingOfIsReal x0 x1 = embedding_of_isReal x0 x1	
transport	f	symmetry 0 substitution 3 arity 0	f  = 0 	
transport	f	symmetry 0 substitution 3 arity 0	f  = Function.const x0 x1	
transport	f	symmetry 0 substitution 3 arity 0	f  = g 	
transport	f	symmetry 0 substitution 3 arity 0	f x0 = 0 	
transport	f	symmetry 0 substitution 3 arity 0	f x0 = 1 	
transport	f	symmetry 0 substitution 3 arity 0	f x0 = complEDS x1 x2 x3 x4 x5	
transport	f	symmetry 0 substitution 3 arity 0	f x0 = complEDS₂ x1 x2 x3 x4	
transport	f	symmetry 0 substitution 3 arity 0	f x0 = f x1	
transport	f	symmetry 0 substitution 3 arity 0	f x0 = g x0	
transport	f	symmetry 0 substitution 3 arity 0	f x0 = normEDS x1 x2 x3 x4	
transport	f	symmetry 0 substitution 3 arity 0	f x0 = preNormEDS x1 x2 x3 x4	
transport	f.norm	symmetry 0 substitution 0 arity 0	f.norm  = g.norm 	
transport	f.pmul	symmetry 0 substitution 0 arity 0	f.pmul x0 = g.pmul x1	
transport	f.ppow	symmetry 0 substitution 0 arity 0	f.ppow x0 = f 	
transport	f.ppow	symmetry 0 substitution 0 arity 0	f.ppow x0 = f.pmul x1	
transport	f.ppow	symmetry 0 substitution 0 arity 0	f.ppow x0 = ζ 	
