species	head	statement	verdict	organ
organ-predicted:symmetric-pair-sum-3	covarianceBilin	covarianceBilin x0 x1 x2 = covarianceBilin x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	covarianceBilin	covarianceBilin x0 x1 x2 = covarianceBilin x2 x1 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	covarianceBilinDual	covarianceBilinDual x0 x1 x2 = covarianceBilinDual x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	covarianceBilinDual	covarianceBilinDual x0 x1 x2 = covarianceBilinDual x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	covarianceBilinDual	covarianceBilinDual x0 x1 x2 = covarianceBilinDual x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	covarianceBilinDual	covarianceBilinDual x0 x1 x2 = covarianceBilinDual x2 x1 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	coxeterWeight	coxeterWeight x0 x1 x2 = coxeterWeight x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	coxeterWeight	coxeterWeight x0 x1 x2 = coxeterWeight x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	coxeterWeight	coxeterWeight x0 x1 x2 = coxeterWeight x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	coxeterWeight	coxeterWeight x0 x1 x2 = coxeterWeight x2 x1 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	edgeDensity	edgeDensity x0 x1 x2 = edgeDensity x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	edgeDensity	edgeDensity x0 x1 x2 = edgeDensity x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	edgeDensity	edgeDensity x0 x1 x2 = edgeDensity x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	edgeDensity	edgeDensity x0 x1 x2 = edgeDensity x2 x1 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x0 x1 x3 x2	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x0 x2 x3 x1	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x0 x3 x1 x2	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x0 x3 x2 x1	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x1 x0 x2 x3	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x1 x0 x3 x2	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x1 x2 x0 x3	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x1 x2 x3 x0	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x1 x3 x0 x2	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x1 x3 x2 x0	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x2 x0 x1 x3	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x2 x0 x3 x1	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x2 x1 x0 x3	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x2 x1 x3 x0	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x2 x3 x0 x1	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x2 x3 x1 x0	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x3 x0 x1 x2	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x3 x0 x2 x1	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x3 x1 x0 x2	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x3 x1 x2 x0	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x3 x2 x0 x1	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x3 x2 x1 x0	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-3	map₂	map₂ x0 x1 x2 = map₂ x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	map₂	map₂ x0 x1 x2 = map₂ x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	map₂	map₂ x0 x1 x2 = map₂ x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	map₂	map₂ x0 x1 x2 = map₂ x2 x1 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	midpoint	midpoint x0 x1 x2 = midpoint x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	midpoint	midpoint x0 x1 x2 = midpoint x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	midpoint	midpoint x0 x1 x2 = midpoint x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	midpoint	midpoint x0 x1 x2 = midpoint x2 x1 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	openSegment	openSegment x0 x1 x2 = openSegment x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	openSegment	openSegment x0 x1 x2 = openSegment x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	openSegment	openSegment x0 x1 x2 = openSegment x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	openSegment	openSegment x0 x1 x2 = openSegment x2 x1 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x0 x1 x3 x2	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x0 x2 x3 x1	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x0 x3 x1 x2	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x0 x3 x2 x1	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x1 x0 x2 x3	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x1 x0 x3 x2	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x1 x2 x0 x3	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x1 x2 x3 x0	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x1 x3 x0 x2	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x1 x3 x2 x0	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x2 x0 x1 x3	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x2 x0 x3 x1	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x2 x1 x0 x3	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x2 x1 x3 x0	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x2 x3 x0 x1	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x2 x3 x1 x0	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x3 x0 x1 x2	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x3 x0 x2 x1	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x3 x1 x0 x2	conflicted	hypergeometric-partial-sum
