path	lines	public_items	kernels
crates/holonic-engine/src/native_spool.rs	2154	60	0
crates/holonic-engine/src/observation_ecology.rs	4466	50	0
crates/holonic-engine/src/operation_correspondence/errors.rs	111	2	0
crates/holonic-engine/src/operation_correspondence/mod.rs	15	0	0
crates/holonic-engine/src/operation_correspondence/schema.rs	317	18	0
crates/holonic-engine/src/operation_correspondence/tests.rs	382	0	0
crates/holonic-engine/src/operation_correspondence/validation.rs	344	6	0
crates/holonic-engine/src/organizational_grammar.rs	2187	61	0
crates/holonic-engine/src/parameter.rs	244	19	0
crates/holonic-engine/src/parcel.rs	1306	56	0
crates/holonic-engine/src/phase_current.rs	850	18	0
crates/holonic-engine/src/physical.rs	816	33	0
crates/holonic-engine/src/physical_constraint_complex.rs	598	33	0
crates/holonic-engine/src/physical_constraint_complex/tests.rs	225	0	0
crates/holonic-engine/src/placement.rs	346	8	0
crates/holonic-engine/src/platform.rs	295	8	0
crates/holonic-engine/src/platform_x11.rs	384	3	0
crates/holonic-engine/src/ported_operation.rs	1503	59	0
crates/holonic-engine/src/ported_reference.rs	1372	14	0
crates/holonic-engine/src/presentation.rs	2470	54	0
crates/holonic-engine/src/presentation_gauge.rs	828	12	0
crates/holonic-engine/src/prime_ecology.rs	3842	71	0
crates/holonic-engine/src/quantity.rs	1889	69	0
crates/holonic-engine/src/quintic_chart.rs	2875	46	0
crates/holonic-engine/src/rational_polynomial.rs	1966	67	0
crates/holonic-engine/src/realization.rs	362	18	0
crates/holonic-engine/src/realization/passage.rs	776	21	0
crates/holonic-engine/src/rebase_invariants.rs	1419	33	0
crates/holonic-engine/src/receiver.rs	2730	83	0
crates/holonic-engine/src/receiver_current.rs	1130	30	0
crates/holonic-engine/src/receiver_ecology.rs	740	19	0
crates/holonic-engine/src/receiver_exact_compression.rs	1313	32	0
crates/holonic-engine/src/receiver_history_compression.rs	1233	27	0
crates/holonic-engine/src/receiver_history_cultivation.rs	494	20	0
crates/holonic-engine/src/receiver_phase_atlas.rs	1817	30	0
crates/holonic-engine/src/reduction_junction.rs	1306	24	0
crates/holonic-engine/src/regime_reading.rs	326	11	0
crates/holonic-engine/src/reopening.rs	1980	42	0
crates/holonic-engine/src/resident_law.rs	3699	52	0
crates/holonic-engine/src/resident_section.rs	7836	208	0
crates/holonic-engine/src/resource.rs	203	9	0
crates/holonic-engine/src/returned_conduct.rs	1882	50	0
crates/holonic-engine/src/returned_reading.rs	2374	41	0
crates/holonic-engine/src/running_integral.rs	2464	73	0
crates/holonic-engine/src/section_partition.rs	2180	41	0
crates/holonic-engine/src/sheaf_diffusion.rs	1384	41	0
crates/holonic-engine/src/simplicial.rs	2311	66	0
crates/holonic-engine/src/situated_residual.rs	1002	39	0
crates/holonic-engine/src/skein.rs	512	13	0
crates/holonic-engine/src/soulkiller/foreign_potential_rest.rs	729	21	0
crates/holonic-engine/src/soulkiller/foreign_section_descent.rs	1584	50	0
crates/holonic-engine/src/soulkiller/mod.rs	14	4	0
crates/holonic-engine/src/soulkiller/receiver_restricted_transport.rs	1366	34	0
crates/holonic-engine/src/soulkiller/scrapyard.rs	627	4	0
crates/holonic-engine/src/soulkiller_witness.rs	571	15	0
crates/holonic-engine/src/source_occurrence.rs	1295	25	0
crates/holonic-engine/src/spine_cut.rs	1643	32	0
crates/holonic-engine/src/statement_composition.rs	2914	65	0
crates/holonic-engine/src/statement_grammar.rs	2118	48	0
crates/holonic-engine/src/streamed_standing.rs	1144	34	0
crates/holonic-engine/src/structure_group.rs	1117	41	0
crates/holonic-engine/src/substitution_realizers.rs	1856	22	0
crates/holonic-engine/src/supported_realizers.rs	738	15	0
crates/holonic-engine/src/surprisal.rs	1237	33	0
crates/holonic-engine/src/temper.rs	666	16	0
crates/holonic-engine/src/token_invariance.rs	4898	161	0
crates/holonic-engine/src/traversible_chain.rs	2706	72	0
crates/holonic-engine/src/tube.rs	1780	32	0
crates/holonic-engine/src/wave_propagation.rs	1600	55	0
crates/holonic-engine/src/winding_inertia.rs	2879	56	0
crates/holonic-engine/src/world.rs	289	13	0
crates/holonic-language/src/lib.rs	932	43	0
crates/holonic-structure/src/branch_lineage.rs	116	9	0
crates/holonic-structure/src/chain.rs	535	24	0
crates/holonic-structure/src/face.rs	97	6	0
crates/holonic-structure/src/gauge.rs	180	7	0
crates/holonic-structure/src/junction.rs	267	10	0
crates/holonic-structure/src/keyed_atlas.rs	577	21	0
crates/holonic-structure/src/lib.rs	64	0	0
crates/holonic-structure/src/local_population.rs	376	29	0
crates/holonic-structure/src/local_sequence.rs	189	19	0
crates/holonic-structure/src/membrane.rs	23	1	0
crates/holonic-structure/src/ordinal_atlas.rs	389	22	0
crates/holonic-structure/src/relating.rs	140	5	0
crates/holonic-structure/src/relation_atlas.rs	391	30	0
crates/relational-geometry/src/decorated_path.rs	927	21	0
crates/relational-geometry/src/exact.rs	590	63	0
crates/relational-geometry/src/exact_analysis.rs	1952	78	0
crates/relational-geometry/src/lib.rs	23	8	0
crates/relational-geometry/src/model.rs	905	43	0
crates/relational-geometry/src/projection.rs	1613	58	0
crates/relational-geometry/src/receiver_atlas.rs	871	33	0
crates/relational-geometry/src/receiver_topology.rs	1870	42	0
crates/relational-geometry/src/scene.rs	471	18	0
soma/body/src/arrow.rs	370	10	0
soma/body/src/boundary.rs	89	3	0
soma/body/src/carriage.rs	5360	32	0
soma/body/src/carriage/register_chart.rs	798	10	0
soma/body/src/channel.rs	1118	39	0
soma/body/src/chart.rs	202	10	0
soma/body/src/geom.rs	135	6	0
soma/body/src/incidence.rs	1075	63	0
soma/body/src/law.rs	523	19	0
soma/body/src/lib.rs	29	15	0
soma/body/src/manifold.rs	5949	331	0
soma/body/src/manifold_tests.rs	3207	0	0
soma/body/src/medium.rs	1405	20	0
soma/body/src/medium/codec.rs	1092	16	0
soma/body/src/num.rs	596	31	0
soma/body/src/place.rs	329	10	0
soma/body/src/quest.rs	277	0	0
soma/body/src/register.rs	566	25	0
soma/body/src/seam.rs	74	5	0
soma/body/src/soul.rs	274	17	0
soma/life/src/agentic_language.rs	1031	64	0
soma/life/src/agentic_language/answer_continuation.rs	1207	10	0
soma/life/src/agentic_language/candidate.rs	1454	30	0
soma/life/src/agentic_language/ecology.rs	1722	37	0
soma/life/src/agentic_language/formal_return.rs	161	1	0
soma/life/src/agentic_language/reflective_codec.rs	341	10	0
soma/life/src/agentic_language/relational_return.rs	181	9	0
soma/life/src/agentic_language/tests.rs	1185	0	0
soma/life/src/agentic_research.rs	1432	29	0
soma/life/src/agentic_research/open_completion.rs	96	4	0
soma/life/src/algorithmic_material.rs	679	15	0
soma/life/src/athena_alpha.rs	313	2	0
soma/life/src/athena_native/conduct.rs	227	3	0
soma/life/src/athena_native/cultivated.rs	603	27	0
soma/life/src/athena_native/exchange_cultivation.rs	505	10	0
soma/life/src/athena_native/exchange_realization.rs	569	16	0
soma/life/src/athena_native/mod.rs	54	0	0
soma/life/src/athena_native/native_factor_deposit.rs	463	10	0
soma/life/src/athena_native/native_material_circulation.rs	1372	30	0
soma/life/src/athena_native/native_relational_potential.rs	1280	28	0
soma/life/src/athena_native/recurrent_factor_complex.rs	892	18	0
soma/life/src/athena_native/rest.rs	217	7	0
soma/life/src/athena_native/types.rs	119	9	0
soma/life/src/athena_receiver_history.rs	243	3	0
soma/life/src/athena_receiver_history/roles.rs	195	1	0
soma/life/src/athena_receiver_history/system.rs	371	7	0
soma/life/src/athena_receiver_history/types.rs	120	11	0
soma/life/src/atlas_cultivation.rs	2274	52	0
soma/life/src/bin/eros.rs	920	0	0
soma/life/src/causal_language.rs	2739	54	0
soma/life/src/causal_section.rs	589	14	0
soma/life/src/causal_section/tests.rs	191	0	0
soma/life/src/conditioned_rest.rs	1364	20	0
soma/life/src/coupled_informant_current.rs	1256	15	0
soma/life/src/current_world.rs	1954	58	0
soma/life/src/decomposing_codec.rs	2707	65	0
soma/life/src/dialogue_lineage.rs	795	17	0
soma/life/src/eros_rest.rs	826	21	0
soma/life/src/exact_world.rs	95	10	0
soma/life/src/exchange_world_tube/continuation.rs	414	8	0
soma/life/src/exchange_world_tube/json_record.rs	418	2	0
soma/life/src/exchange_world_tube/mod.rs	351	24	0
soma/life/src/exchange_world_tube/mount.rs	339	3	0
soma/life/src/exchange_world_tube/receiver.rs	368	10	0
soma/life/src/exchange_world_tube/rest.rs	541	6	0
soma/life/src/exchange_world_tube/source.rs	291	4	0
soma/life/src/exposure_codec.rs	1696	40	0
soma/life/src/form_mouth.rs	808	10	0
soma/life/src/founded_mouth.rs	255	7	0
soma/life/src/holonic_training.rs	1837	53	0
soma/life/src/incidence_production.rs	4095	111	0
soma/life/src/laboratory_language.rs	2128	47	0
soma/life/src/laboratory_language/repository.rs	1020	12	0
soma/life/src/laboratory_language/tests.rs	63	0	0
soma/life/src/lean_mathematics.rs	981	70	0
soma/life/src/lean_mathematics/ecology.rs	1451	16	0
soma/life/src/lean_mathematics/kernel_returns.rs	235	21	0
soma/life/src/lean_mathematics/syntax.rs	819	31	0
soma/life/src/lean_mathematics/tests.rs	638	0	0
soma/life/src/lib.rs	103	44	0
soma/life/src/live_current_cuda.rs	138	2	0
soma/life/src/live_current_cuda/executor.rs	1590	0	0
soma/life/src/live_current_cuda/mount.rs	324	16	0
soma/life/src/live_current_cuda/receipt.rs	94	20	0
soma/life/src/live_current_cuda/tests.rs	1794	0	0
soma/life/src/material_incidence.rs	2616	52	0
soma/life/src/material_shadow_cuda.rs	289	11	0
soma/life/src/mathematical_particle.rs	657	56	0
soma/life/src/mathematical_particle/admission.rs	159	19	0
soma/life/src/mathematical_particle/intake.rs	343	21	0
soma/life/src/mathematical_particle/lineage.rs	497	36	0
soma/life/src/mathematical_particle/methods.rs	630	37	0
soma/life/src/mathematical_particle/morphology.rs	24	1	0
soma/life/src/mathematical_particle/morphology/algebra.rs	199	8	0
soma/life/src/mathematical_particle/morphology/candidate.rs	232	6	0
soma/life/src/mathematical_particle/morphology/rest.rs	145	9	0
soma/life/src/mathematical_particle/morphology/tests.rs	73	0	0
soma/life/src/mathematical_particle/morphology/types.rs	213	17	0
soma/life/src/mathematical_particle/multimodal_transport.rs	25	0	0
soma/life/src/mathematical_particle/multimodal_transport/rest.rs	368	11	0
soma/life/src/mathematical_particle/multimodal_transport/tests.rs	158	0	0
soma/life/src/mathematical_particle/multimodal_transport/types.rs	237	26	0
soma/life/src/mathematical_particle/multimodal_transport/validation.rs	326	2	0
soma/life/src/mathematical_particle/multimodal_transport/wire.rs	142	2	0
soma/life/src/mathematical_particle/production_aperture.rs	93	6	0
soma/life/src/mathematical_particle/production_aperture/components.rs	113	1	0
soma/life/src/mathematical_particle/production_aperture/family.rs	577	33	0
soma/life/src/mathematical_particle/production_aperture/family_types.rs	128	10	0
soma/life/src/mathematical_particle/production_aperture/inquiry.rs	100	4	0
soma/life/src/mathematical_particle/production_aperture/laboratory.rs	630	21	0
soma/life/src/mathematical_particle/production_aperture/laboratory_types.rs	192	16	0
soma/life/src/mathematical_particle/production_aperture/native_consequence.rs	512	6	0
soma/life/src/mathematical_particle/production_aperture/native_consequence_types.rs	238	21	0
soma/life/src/mathematical_particle/production_aperture/native_family.rs	723	22	0
soma/life/src/mathematical_particle/production_aperture/native_family_types.rs	172	15	0
soma/life/src/mathematical_particle/production_aperture/native_terrain.rs	752	25	0
