kind	head	detail	form	witness
transport	MvPolynomial.homogeneousSubmodule	symmetry 0 substitution 0 arity 0	MvPolynomial.homogeneousSubmodule x0 x1 x2 = .span x1 x3	
transport	MvPolynomial.homogeneousSubmodule	symmetry 0 substitution 0 arity 0	MvPolynomial.homogeneousSubmodule x0 x1 x2 = 1 	
transport	MvPolynomial.map	symmetry 0 substitution 0 arity 0	MvPolynomial.map x0 x1 = P.relation x2	
transport	MvPolynomial.map	symmetry 0 substitution 0 arity 0	MvPolynomial.map x0 x1 = frobeniusPolyRat x2 x3	
transport	MvPolynomial.pUnitAlgEquiv	symmetry 0 substitution 0 arity 0	MvPolynomial.pUnitAlgEquiv x0 x1 = Polynomial.monomial x2 x3	
transport	MvPowerSeries.aeval	symmetry 0 substitution 0 arity 0	MvPowerSeries.aeval x0 x1 = tsum x2	
transport	MvPowerSeries.coeff	symmetry 0 substitution 0 arity 0	MvPowerSeries.coeff x0 x1 = f.coeff x0	
transport	MvPowerSeries.coeff	symmetry 0 substitution 0 arity 0	MvPowerSeries.coeff x0 x1 = finsum x2	
transport	MvPowerSeries.constantCoeff	symmetry 0 substitution 0 arity 0	MvPowerSeries.constantCoeff x0 = 0 	
transport	MvPowerSeries.constantCoeff	symmetry 0 substitution 0 arity 0	MvPowerSeries.constantCoeff x0 = finsum x1	
transport	MvPowerSeries.eval₂	symmetry 0 substitution 0 arity 0	MvPowerSeries.eval₂ x0 x1 x2 = MvPolynomial.eval₂ x0 x1 x2	
transport	MvPowerSeries.rescale	symmetry 0 substitution 0 arity 0	MvPowerSeries.rescale x0 x1 = rescale x2 x1	
transport	Mᴴᴴ	symmetry 0 substitution 0 arity 0	Mᴴᴴ  = M 	
transport	Mᴴᵀ	symmetry 0 substitution 0 arity 0	Mᴴᵀ  = M.map x0	
transport	Mᵀ.det	symmetry 0 substitution 0 arity 0	Mᵀ.det  = M.det 	
transport	Mᵀ.mulVecLin	symmetry 0 substitution 0 arity 0	Mᵀ.mulVecLin  = M.vecMulLinear 	
transport	Mᵀ.permanent	symmetry 0 substitution 0 arity 0	Mᵀ.permanent  = M.permanent 	
transport	Mᵀ.vecMulLinear	symmetry 0 substitution 0 arity 0	Mᵀ.vecMulLinear  = M.mulVecLin 	
transport	Mᵀᴴ	symmetry 0 substitution 0 arity 0	Mᵀᴴ  = M.map x0	
transport	Mᵀᵀ	symmetry 0 substitution 0 arity 0	Mᵀᵀ  = M 	
transport	M₁	symmetry 0 substitution 0 arity 0	M₁  = M₂ 	
transport	N	symmetry 0 substitution 0 arity 0	N  = M 	
transport	N	symmetry 0 substitution 0 arity 0	N  = P 	
transport	N.colon	symmetry 0 substitution 1 arity 0	N.colon x0 = N.colon x1	
transport	N.comap	symmetry 0 substitution 0 arity 0	N.comap x0 = N 	
transport	N.comapOn	symmetry 0 substitution 0 arity 0	N.comapOn x0 x1 = N.comap x1	
transport	N.freeHomEquiv	symmetry 0 substitution 0 arity 0	N.freeHomEquiv x0 x1 = sectionsMap x2 x3	
transport	N.incl	symmetry 0 substitution 0 arity 0	N.incl x0 = m 	
transport	N.incl.range	symmetry 0 substitution 0 arity 0	N.incl.range  = N 	
transport	N.lTensorOne	symmetry 0 substitution 0 arity 0	N.lTensorOne x0 = n 	
transport	N.lcs	symmetry 0 substitution 0 arity 0	N.lcs x0 = N 	
transport	N.map	symmetry 0 substitution 0 arity 0	N.map x0 = N 	
transport	N.toAddSubgroup.toIntSubmodule	symmetry 0 substitution 0 arity 0	N.toAddSubgroup.toIntSubmodule  = N.restrictScalars x0	
transport	N.ucs	symmetry 0 substitution 0 arity 0	N.ucs x0 = N 	
transport	N.unitHomEquiv	symmetry 0 substitution 0 arity 0	N.unitHomEquiv x0 = sectionsMap x1 x2	
transport	NNRat.cast	symmetry 0 substitution 0 arity 0	NNRat.cast  = id 	
transport	NNRat.cast	symmetry 0 substitution 0 arity 0	NNRat.cast x0 = n 	
transport	NNRat.cast	symmetry 0 substitution 0 arity 0	NNRat.cast x0 = q 	
transport	Nat.bell	symmetry 0 substitution 0 arity 0	Nat.bell x0 = 1 	
transport	Nat.bell	symmetry 0 substitution 0 arity 0	Nat.bell x0 = 2 	
