kind	head	detail	form	witness
transport	riemannianEDist	symmetry 1 substitution 0 arity 0	riemannianEDist x0 x1 x2 = riemannianEDist x0 x2 x1	
transport	s	symmetry 0 substitution 0 arity 0	s  = insert x0 x1	
transport	s	symmetry 0 substitution 0 arity 0	s  = t 	
transport	s.circumcenter	symmetry 0 substitution 0 arity 0	s.circumcenter  = Finset.univ.centroid x0 x1	
transport	s.circumcenter	symmetry 0 substitution 0 arity 0	s.circumcenter  = s.points x0	
transport	s.circumsphere.center	symmetry 0 substitution 0 arity 0	s.circumsphere.center  = s.circumcenter 	
transport	s.circumsphere.radius	symmetry 0 substitution 0 arity 0	s.circumsphere.radius  = s.circumradius 	
transport	s.direction.orthogonalProjection	symmetry 0 substitution 0 arity 0	s.direction.orthogonalProjection x0 = 0 	
transport	s.excenter	symmetry 0 substitution 1 arity 0	s.excenter x0 = Finset.univ.affineCombination x1 x2 x3	
transport	s.excenter	symmetry 0 substitution 1 arity 0	s.excenter x0 = s.excenter x1	
transport	s.excenter	symmetry 0 substitution 1 arity 0	s.excenter x0 = s.incenter 	
transport	s.excenterWeights	symmetry 0 substitution 1 arity 0	s.excenterWeights x0 = s.excenterWeights x1	
transport	s.exradius	symmetry 0 substitution 1 arity 0	s.exradius x0 = s.exradius x1	
transport	s.exradius	symmetry 0 substitution 1 arity 0	s.exradius x0 = s.inradius 	
transport	s.exsphere	symmetry 0 substitution 1 arity 0	s.exsphere x0 = s.exsphere x1	
transport	s.exsphere	symmetry 0 substitution 1 arity 0	s.exsphere x0 = s.insphere 	
transport	s.incenter	symmetry 0 substitution 0 arity 0	s.incenter  = Finset.univ.affineCombination x0 x1 x2	
transport	s.insphere.center	symmetry 0 substitution 0 arity 0	s.insphere.center  = s.incenter 	
transport	s.insphere.radius	symmetry 0 substitution 0 arity 0	s.insphere.radius  = s.inradius 	
transport	s.mongePlane	symmetry 1 substitution 0 arity 0	s.mongePlane x0 x1 = s.mongePlane x1 x0	
transport	s.orthogonalProjectionSpan	symmetry 0 substitution 0 arity 0	s.orthogonalProjectionSpan x0 = s.points x1	
transport	s.pointsWithCircumcenter	symmetry 0 substitution 0 arity 0	s.pointsWithCircumcenter x0 = s.circumcenter 	
transport	s.pointsWithCircumcenter	symmetry 0 substitution 0 arity 0	s.pointsWithCircumcenter x0 = s.points x1	
transport	s.secondInter	symmetry 0 substitution 2 arity 0	s.secondInter x0 x1 = Sphere.secondInter x2 x3 x4	
transport	s.secondInter	symmetry 0 substitution 2 arity 0	s.secondInter x0 x1 = p 	
transport	s.secondInter	symmetry 0 substitution 2 arity 0	s.secondInter x0 x1 = s.secondInter x0 x2	
transport	s.signedInfDist	symmetry 0 substitution 0 arity 0	s.signedInfDist x0 = AffineMap.const x1 x2 x3	
transport	s.signedInfDist	symmetry 0 substitution 0 arity 0	s.signedInfDist x0 = signedDist x1 x2	
transport	s.signedInfDist	symmetry 0 substitution 0 arity 0	s.signedInfDist x0 x1 = 0 	
transport	s.signedInfDist	symmetry 0 substitution 0 arity 0	s.signedInfDist x0 x1 = s.inradius 	
transport	s.touchpoint	symmetry 0 substitution 0 arity 0	s.touchpoint x0 x1 = s.points x2	
